1000_1221_0,-3666947055304777106718720.000000
1000_1381_0,-10268316149113181507158016.000000
1000_1382_0,-11891498797870321965727744.000000
1000_1383_0,-9922240483172130385559552.000000
1000_1384_0,-5079886148399775837323264.000000
1000_1474_0,-7887526994340729459834880.000000
1000_1543_0,-379462203696119931731968.000000
1000_1597_0,-12384892051987672558731264.000000
1000_1598_0,-12384892051987672558731264.000000
1000_1708_0,-12384892051987672558731264.000000
1000_1714_0,-1453452483296715648008192.000000
1000_1715_0,-12384892051987672558731264.000000
1000_1716_0,-12384892051987672558731264.000000
1000_1717_0,-2816043332500049365041152.000000
1000_1718_0,-5382579560144839699857408.000000
1000_1719_0,-2526253886776008188624896.000000
1000_1720_0,-1453452483296715648008192.000000
1000_1721_0,-3262941656538399350194176.000000
1000_1722_0,-4437166486547620564041728.000000
1000_1723_0,-12384892051987672558731264.000000
1000_1806_0,-8777824291319726708097024.000000
1000_2157_1,5821899633976042607083520.000000
1001_1255_0,-3334706900912037859164160.000000
1001_1257_0,-3883857589060519858274304.000000
1001_1610_0,-2891138957171232044220416.000000
1001_1620_0,-9776906875163062319448064.000000
1001_1666_0,-9723846975913620555169792.000000
1001_1688_0,-3929882783971294115266560.000000
1001_1689_0,1401823015741474769731584.000000
1001_1701_1,-13737473774348806918242304.000000
1001_1730_0,-11351661384101285943312384.000000
1001_1809_0,-14710942477201145304449024.000000
1001_2030_0,-5482856994133745023844352.000000
1001_2094_0,-3068813672965445177573376.000000
1002_1500_0,1672495741855287407017984.000000
1002_1557_0,-3052627342954324174045184.000000
1002_1618_0,-16819294283121355674091520.000000
1002_1625_0,-10089717572864099399761920.000000
1002_1744_0,-10221403752299479418535936.000000
1002_1818_0,-1601180632756384492945408.000000
1002_1956_0,-7866759641912343953145856.000000
1002_2018_0,-5594172259849088723320832.000000
1002_2049_0,-7458136545642453405794304.000000
1002_2099_0,-7591173189802657992146944.000000
1002_2140_1,-121421084510846862753792.000000
1003_1149_0,-12052100308572869610176512.000000
1003_1187_0,-4711166767551532119359488.000000
1003_1328_0,-949047507140151902994432.000000
1003_1331_1,361827339354631649099776.000000
1003_1342_0,-8577261116372897088143360.000000
1003_1440_0,-7964162386202345135407104.000000
1003_1737_0,-1473750564113432184881152.000000
1004_1084_0,-3044463239196750947287040.000000
1004_1086_0,-5390726505800512951025664.000000
1004_1095_0,-5390726505800512951025664.000000
1004_1108_0,-4993462206667416496242688.000000
1004_1173_0,-4523030919502187051614208.000000
1004_1175_1,-595039060983452541124608.000000
1004_1423_0,-7890016668703036561948672.000000
1005_1195_0,-3378268059873998704476160.000000
1005_1578_1,6801747443759232426442752.000000
1005_1703_0,-3285590371429255955349504.000000
1005_1710_0,-468323617516151686299648.000000
1005_1751_0,-3584158347339372062310400.000000
1005_1752_0,-5769892032699775852740608.000000
1005_1753_0,-3584158347339372062310400.000000
1005_1754_0,-5769892032699775852740608.000000
1006_1446_0,-5993597919739040115982336.000000
1006_1695_0,-5993597919739040115982336.000000
1006_2135_1,122963716390968715378688.000000
1007_1216_0,-1818796584696352241352704.000000
1007_2173_1,513393425145282827386880.000000
1008_1297_0,-1290003434341441831174144.000000
1008_1333_1,-47483841144715883839488.000000
1008_1398_0,-1290003434341441831174144.000000
1008_1399_0,-376722176984831647285248.000000
1008_1400_0,-4456199457650243719397376.000000
1008_1435_0,-14512457672493232289742848.000000
1008_1458_0,-510266931895729278418944.000000
1008_1506_0,-207518148701729633337344.000000
1008_1535_0,-1290003434341441831174144.000000
1008_1999_0,-230526973295358967283712.000000
1009_1933_0,-10212369924310757357387776.000000
1009_2080_1,-1792152393801077031436288.000000
100_1100_1,5724880737617915724955648.000000
100_1102_0,-6692461653612775669235712.000000
1010_1142_0,-8323351931939397732139008.000000
1010_1170_0,-3794356895993403516387328.000000
1010_1410_0,-3334706900912037859164160.000000
1010_1648_0,-611015166665009257250816.000000
1010_1665_1,1148973215551634202951680.000000
1010_2120_0,-5337944386552777697918976.000000
1011_1332_0,-6376620077857041549361152.000000
1011_1636_0,-10508690651621897308995584.000000
1011_1648_0,-4582093606086325605236736.000000
1011_1661_0,-10508690651621897308995584.000000
1011_1662_0,-10508690651621897308995584.000000
1011_2060_0,-10244396226744155153367040.000000
1011_2061_0,-10244396226744155153367040.000000
1011_2124_1,-6877499214804827647246336.000000
1012_1222_0,-6592090605959323454537728.000000
1012_1381_0,-3666947055304777106718720.000000
1012_1382_0,-10268316149113181507158016.000000
1012_1383_0,-9922240483172130385559552.000000
1012_1384_0,-11891498797870321965727744.000000
1012_1474_0,-7887526994340729459834880.000000
1012_1543_0,-5079886148399775837323264.000000
1012_1597_0,-12305854264559511346872320.000000
1012_1598_0,-12305854264559511346872320.000000
1012_1708_0,-12305854264559511346872320.000000
1012_1714_0,-9070589629592384344948736.000000
1012_1715_0,-12305854264559511346872320.000000
1012_1716_0,-12305854264559511346872320.000000
1012_1717_0,-2565195889056523655053312.000000
1012_1718_0,-4096843160925080349835264.000000
1012_1719_0,-5382579560144839699857408.000000
1012_1720_0,732281202063687605551104.000000
1012_1721_0,-1077207971177995828199424.000000
1012_1722_0,-2526253886776008188624896.000000
1012_1723_0,-12305854264559511346872320.000000
1012_1806_1,4437166486547620564041728.000000
1012_2157_0,-4491476247006470463291392.000000
1013_1326_0,-4479955644360343347527680.000000
1013_1608_0,-4479955644360343347527680.000000
1013_2010_1,4479955644360343347527680.000000
1014_1465_0,-5993597919739040115982336.000000
1014_1884_1,-122963716390968715378688.000000
1015_1332_0,-1473750564113432184881152.000000
1015_1743_0,-7458136545642453405794304.000000
1015_1818_0,-2885166645874785716797440.000000
1015_1956_0,-7949808282997314954461184.000000
1015_2141_1,-949047507140151902994432.000000
1016_1234_0,-10479114251396687733981184.000000
1016_1371_0,-8277670320205274825097216.000000
1016_1415_0,-10463404005565678078656512.000000
1016_1587_0,-7564197268583191341432832.000000
1016_1588_0,-7564197268583191341432832.000000
1016_1589_0,-6676510910209120492584960.000000
1016_1590_0,-7564197268583191341432832.000000
1016_1591_0,-6676510910209120492584960.000000
1016_1592_0,-6676510910209120492584960.000000
1016_1593_0,-7145808544216728461115392.000000
1016_1623_0,-4302673936365960063614976.000000
1016_1735_0,-12185187382302404018962432.000000
1016_1736_0,-12185187382302404018962432.000000
1016_1818_0,-11366063368751820021170176.000000
1016_2042_0,-8553180441738703305441280.000000
1016_2043_0,-5439879533666115151462400.000000
1016_2062_0,-3369859767481724557066240.000000
1016_2073_0,-4302673936365960063614976.000000
1016_2074_0,-4302673936365960063614976.000000
1016_2163_1,-7949808282997314954461184.000000
1017_2051_1,-8722152381244439372234752.000000
1017_2057_0,-6985256049087150093762560.000000
1017_2058_0,-10907886066604841552052224.000000
1017_2162_0,-10907886066604841552052224.000000
1018_1594_0,-8277670320205274825097216.000000
1018_1635_0,-6109550564518579882950656.000000
1018_1657_0,-13724890160882202536050688.000000
1018_1671_0,-10035258449075812937236480.000000
1018_2004_0,-8802388650130830931263488.000000
1018_2125_1,846091035340377023315968.000000
1019_1163_0,-9167452331106809451380736.000000
1019_1192_0,-9167452331106809451380736.000000
1019_1197_0,-6692461653612775669235712.000000
1019_1253_0,-7186739494326709237317632.000000
1019_1254_0,-2401687014204850833457152.000000
